system_qubits,bath_qubits,J,h,num_sweeps,p,training_method,single_qubit_gate_noise,two_qubit_gate_noise,initial_state,ground_state_energy,bond_dim,energy,energy_diff,energy_std,truncation_error,combined_std,energy_density_atol,energy_atol,total_time_minutes
4,2,0.4,0.6,4,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-2.6015566228505618,32,-2.2821485714285714,0.31940805142199036,0.014267648668731089,inf,inf,0.01,0.04,0.664021102587382
4,2,0.4,0.6,4,3,energy,0.00030000000000000003,0.0030000000000000005,zeros,-2.6015566228505618,64,-2.2532571428571426,0.34829947999341915,0.014522774981599788,0.020499703734382285,0.025122675939549668,0.01,0.04,0.664021102587382
4,2,0.4,0.6,4,3,energy,0.0008,0.008,zeros,-2.601556622850565,32,-2.0671085714285713,0.5344480514219936,0.01565818552762397,inf,inf,0.01,0.04,0.6629032651583354
4,2,0.4,0.6,4,3,energy,0.0008,0.008,zeros,-2.601556622850565,64,-2.115474285714286,0.486082337136279,0.015449297389071666,0.04307415413602343,0.045760939067614,0.01,0.04,0.6629032651583354
8,4,0.4,0.6,1,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-5.276561938925696,32,-3.3604095563139937,1.9161523826117026,0.03574642054439126,inf,inf,0.01,0.08,0.27951694329579674
8,4,0.4,0.6,1,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-5.276561938925696,64,-3.335665529010239,1.9408964099154575,0.0357938354612031,0.0357938354612031,0.05062012755858445,0.01,0.08,0.27951694329579674
4,2,0.4,0.6,5,3,energy,0.0006000000000000001,0.006000000000000001,zeros,-2.6015566228505618,32,-2.2239999999999998,0.377556622850562,0.014873081331562635,inf,inf,0.01,0.04,0.9038427988688151
4,2,0.4,0.6,5,3,energy,0.0006000000000000001,0.006000000000000001,zeros,-2.6015566228505618,64,-2.2260114285714283,0.37554519427913347,0.014725535166175195,0.014873081331562635,0.020929642477250758,0.01,0.04,0.9038427988688151
8,4,0.4,0.6,1,3,energy,0.0002,0.002,zeros,-5.27656193892568,32,-3.5075085324232083,1.7690534065024721,0.0353165381216601,inf,inf,0.01,0.08,0.2897528608640035
8,4,0.4,0.6,1,3,energy,0.0002,0.002,zeros,-5.27656193892568,64,-3.516382252559727,1.7601796863659533,0.035160817861614624,0.0353165381216601,0.04983513798111036,0.01,0.08,0.2897528608640035
4,2,0.4,0.6,4,3,energy,0.001,0.01,zeros,-2.6015566228505658,32,-2.055222857142857,0.546333765707709,0.0157844148652735,inf,inf,0.01,0.04,0.687731413046519
4,2,0.4,0.6,4,3,energy,0.001,0.01,zeros,-2.6015566228505658,64,-2.057417142857143,0.5441394799934227,0.01584532908206549,0.01584532908206549,0.022408679288121843,0.01,0.04,0.687731413046519
4,2,0.4,0.6,4,3,energy,0.0005,0.005,zeros,-2.601556622850563,32,-2.185234285714286,0.4163223371362772,0.014924099010887183,inf,inf,0.01,0.04,0.675829271475474
4,2,0.4,0.6,4,3,energy,0.0005,0.005,zeros,-2.601556622850563,64,-2.2170514285714282,0.3845051942791349,0.01479280826644139,0.023890890981655373,0.028099854951672592,0.01,0.04,0.675829271475474
8,4,0.4,0.6,2,3,energy,0.0,0.0,zeros,-5.276561938925678,32,-4.155631399317406,1.1209305396082714,0.03243839041870833,inf,inf,0.01,0.08,1.714756449063619
